Date,Pluckers,Field Wght,Factory W,Variance,Average,Rainfall,Running totals,Unnamed: 8,Factory W MA7,Daily Change %
2019-09-22 00:00:00,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1355.7142857142858,-100.0
2019-09-23 00:00:00,47,1292.0,1490.0,198.0,32.0,0.0,31520.0,0.0,1280.7142857142858,inf
2019-09-24 00:00:00,53,1595.0,1830.0,235.0,35.0,0.0,33350.0,0.0,1236.4285714285713,22.818791946308714
2019-09-25 00:00:00,45,1185.0,1355.0,170.0,30.0,0.0,34705.0,0.0,1272.142857142857,-25.95628415300546
2019-09-26 00:00:00,52,2565.0,2720.0,155.0,52.0,26.4,37425.0,0.0,1433.5714285714287,100.7380073800738
2019-09-27 00:00:00,54,2752.0,2950.0,198.0,55.0,0.0,40375.0,0.0,1643.5714285714287,8.455882352941169
2019-09-28 00:00:00,49,2135.0,2330.0,195.0,47.0,0.0,42705.0,0.0,1810.7142857142858,-21.016949152542374
2019-09-29 00:00:00,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1810.7142857142858,-100.0
2019-09-30 00:00:00,56,2345.0,2610.0,265.0,47.0,0.0,45315.0,0.0,1970.7142857142858,inf
2019-11-01 00:00:00,51,1866.0,2080.0,214.0,41.0,0.0,2080.0,0.0,2006.4285714285713,-20.306513409961692
2019-11-02 00:00:00,50,1496.0,1715.0,219.0,34.0,1.0,3795.0,0.0,2057.8571428571427,-17.548076923076927
2019-11-03 00:00:00,-,0.0,0.0,0.0,0.0,13.6,0.0,0.0,1669.2857142857142,-100.0
2019-11-04 00:00:00,45,1886.0,2050.0,164.0,46.0,0.0,5845.0,0.0,1540.7142857142858,inf
2019-11-05 00:00:00,45,1568.0,1750.0,182.0,39.0,0.0,7595.0,0.0,1457.857142857143,-14.634146341463417
2019-11-06 00:00:00,50,1619.0,1780.0,161.0,36.0,0.0,9375.0,0.0,1712.142857142857,1.7142857142857126
2019-11-07 00:00:00,49,1426.0,1735.0,309.0,29.0,0.0,11110.0,0.0,1587.142857142857,-2.52808988764045
2019-11-08 00:00:00,45,1471.0,1625.0,214.0,0.0,32.0,1279.0,0.0,1522.142857142857,-6.340057636887608
2019-11-09 00:00:00,40,1773.0,1940.0,167.0,48.0,0.0,14735.0,0.0,1554.2857142857142,19.38461538461538
2019-11-10 00:00:00,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1554.2857142857142,-100.0
2019-11-11 00:00:00,42,2573.0,2940.0,367.0,70.0,2.6,17675.0,0.0,1681.4285714285713,inf
2019-11-12 00:00:00,52,3294.0,3653.0,361.0,70.0,11.8,21330.0,0.0,1953.2857142857142,24.251700680272116
2019-11-13 00:00:00,49,3181.0,356.0,379.0,73.0,7.0,24890.0,0.0,1749.857142857143,-90.25458527237886
2019-11-14 00:00:00,44,3652.0,3985.0,333.0,91.0,2.6,28875.0,0.0,2071.285714285714,1019.3820224719101
2019-11-15 00:00:00,42,3533.0,3855.0,322.0,92.0,0.0,32730.0,0.0,2389.8571428571427,-3.262233375156842
2019-11-16 00:00:00,40,2200.0,2350.0,150.0,59.0,0.0,35080.0,0.0,2448.4285714285716,-39.04020752269779
2019-11-17 00:00:00,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2448.4285714285716,-100.0
2019-11-18 00:00:00,42,1810.0,1970.0,160.0,47.0,0.0,37050.0,0.0,2309.8571428571427,inf
2019-11-19 00:00:00,52,2094.0,2290.0,194.0,44.0,5.6,39340.0,0.0,2115.1428571428573,16.24365482233503
2019-11-20 00:00:00,42,2257.0,2430.0,173.0,58.0,0.0,41770.0,0.0,2411.4285714285716,6.113537117903922
2019-11-21 00:00:00,48,2940.0,3275.0,335.0,68.0,10.4,45045.0,0.0,2310.0,34.773662551440324
2019-11-22 00:00:00,45,1819.0,2050.0,231.0,46.0,9.6,47095.0,0.0,2052.1428571428573,-37.40458015267175
2019-11-23 00:00:00,37,1003.0,1175.0,172.0,32.0,0.0,48270.0,0.0,1884.2857142857142,-42.6829268292683
2019-11-24 00:00:00,-,0.0,0.0,0.0,0.0,56.2,0.0,0.0,1884.2857142857142,-100.0
2019-11-25 00:00:00,12,44.0,2334.0,2565.0,231.0,58.0,50835.0,0.0,1936.2857142857142,inf
2019-11-26 00:00:00,45,3112.0,3445.0,333.0,77.0,12.0,54280.0,0.0,2101.285714285714,47.60068551842331
2019-11-27 00:00:00,34,2864.0,3170.0,306.0,93.0,12.2,57540.0,0.0,2207.0,-7.982583454281567
2019-11-28 00:00:00,42,2646.0,2945.0,299.0,70.0,11.2,60395.0,0.0,2159.8571428571427,-7.097791798107256
2019-11-29 00:00:00,42,2549.0,2885.0,336.0,66.0,2.6,63280.0,0.0,2279.1428571428573,-2.037351443123936
2019-11-30 00:00:00,40,1205.0,1380.0,175.0,35.0,37.6,64660.0,0.0,2308.4285714285716,-52.16637781629117
2019-12-15 00:00:00,49,2326.0,2540.0,214.0,52.0,0.0,25514.0,0.0,2671.285714285714,84.05797101449275
2019-12-16 00:00:00,46,2561.0,2825.0,264.0,61.0,0.0,28339.0,0.0,2741.4285714285716,11.220472440944885
2019-12-17 00:00:00,26,1092.0,1180.0,88.0,45.0,10.2,29519.0,0.0,2417.8571428571427,-58.23008849557523
2019-12-18 00:00:00,25,1206.0,1300.0,94.0,52.0,0.0,30819.0,0.0,2150.714285714286,10.169491525423723
2019-12-19 00:00:00,21,1035.0,1100.0,65.0,52.0,0.0,31919.0,0.0,1887.142857142857,-15.384615384615385
