Date,Pluckers,Field Wght,Factory W,Variance,Average,Rainfall,Running totals
9.11.2023,50,2194,2300,106,44,0,17755
10.11.2023,49,1627,1675,48,33,10,19430
11.11.2023,48,1950,2030,80,41,1,21460
12.11.2023,        -,-,-,-,-,6,-
13.11.2023,        -,-,-,-,-,6,-
14.11.2023,48,1934,2000,66,40,3,23460
15.11.2023,46,1938,2005,67,42,4,25465
16.11.2023,49,2123,2170,47,45,3,27635
17.11.2023,48,2058,2145,87,43,5,29780
18.11.2023,48,1585,1660,75,30,6,31440
19.11.2023,         -,-,-,-,-,17,-
20.11.2023,49,2192,2245,53,45,2,33685
21.11.2023,50,3303,3430,127,66,9,37115
22.11.2023,49,1882,1930,48,38,3,39045
23.11.2023,49,2865,2920,55,58,4,41965
24.11.2023,48,1704,1660,-44,36,1,43625
25.11.2023,46,835,870,35,18,12,44495
26.11.2023,-,-,-,-,-,-,-
27.11.2023,48,1612,1690,78,34,12,46185
28.11.2023,49,1879,1930,51,38,0,48115
29.11.2023,49,1995,2050,55,41,0,50165
30.11.2023,47,1717,1760,43,37,3,51925
TOTAL,1220,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Date,Pluckers,Field Wght,Factory W,Variance,Average,Rainfall,Running totals
12/1/2023,48,2296,2380,84,48,2380,0
12/2/2023,50,1941,1990,49,39,4370,1.6
12/3/2023,,,,,,,
12/4/2023,51,2195,2240,45,43,6610,4.6
12/5/2023,,2362,2400,38,46,9010,0
12/6/2023,52,2066,2130,64,40,11140,0
12/7/2023,50,2342,2395,53,47,13535,0
12/8/2023,50,2478,2510,32,50,16045,0
12/9/2023,50,2247,2310,63,45,18355,0
12/10/2023,,,,,,,0
12/11/2023,50,3067,3120,53,61,21475,0
12/12/2023,,,,,,,0
12/13/2023,51,2590,2655,65,51,24130,0
12/14/2023,51,3993,3520,27,57,27650,53.2
12/15/2023,50,2787,2845,56,39,30495,4.2
12/16/2023,50,2557,2610,53,51,33105,0
12/17/2023,,,,,,,
12/18/2023,51,2886,2980,94,57,36085,0
12/19/2023,51,1982,2010,28,39,38095,0
12/20/2023,51,3102,3180,78,61,41275,0
12/21/2023,50,3374,3460,81,68,44735,0
12/22/2023,49,2150,3910,92,80,48645,3.1
12/23/2023,48,2745,2190,40,45,50835,0
12/24/2023,,,,,,,
12/25/2023,,,,,,,
12/26/2023,,,,,,,
12/27/2023,42,3100,2745,90,65,53580,0
12/28/2023,47,4215,3100,63,65,56680,0
12/29/2023,47,3600,4215,69,88,60895,0
12/30/2023,47,,3600,81,75,64495,0
TOTAL,1086,64495,64495,1398,58,,37.2
,,2296,,,,,
